name,description
Ant,"Ants are small social insects with segmented bodies and strong mandibles. They feed on nectar, seeds, or insects. Ant colonies have complex social structures with queens, workers, and soldiers."
Wasp,"Wasps are slender insects with narrow waists and smooth bodies, often brightly colored. They feed on nectar and other insects. Many are predators or parasitoids, and some species can sting repeatedly."
Bumblebee,"Bumblebees are large, fuzzy bees with black and yellow stripes. They feed on nectar and pollen. They are important pollinators and can buzz-pollinate certain flowers that honeybees cannot."
Aphid,"Aphids are tiny, soft-bodied insects, usually green or black. They feed on plant sap, often causing damage to crops. They reproduce rapidly and can be tended by ants for their honeydew secretion."
Cicada,"Cicadas are medium to large insects with membranous wings and prominent eyes. They feed on plant sap. Many species emerge in large numbers periodically and produce loud buzzing sounds."
Earwig,"Earwigs are small, elongated insects with pincers at the end of their abdomen. They feed on plants and small insects. They are mostly nocturnal and hide in crevices during the day."
Bedbug,"Bedbugs are small, reddish-brown, flat insects that feed exclusively on blood, usually at night. They hide in crevices, mattresses, and furniture during the day. Bedbugs are notorious for their resilience and rapid reproduction, making infestations difficult to control."
Caddisfly,"Caddisflies are small to medium insects with hairy wings, closely related to moths. Their larvae are aquatic and build protective cases from sand, plant material, or small stones. Adults feed on nectar or do not feed at all and are mostly active at night."
Mayfly,"Mayflies are delicate insects with elongated bodies and two or three long tail filaments. They feed on algae in their aquatic nymph stage and live only a few hours as adults, mainly to reproduce. They are indicators of freshwater ecosystem health."
Ladybird,"Ladybirds are small, rounded beetles with bright red or orange shells and black spots. They feed on aphids and scale insects, making them natural pest controllers. They can secrete a foul-smelling fluid to deter predators."
Stick Insect,"Stick insects are long, thin insects that closely resemble twigs or branches for camouflage. They feed on leaves and are mostly nocturnal. Some species can regenerate lost limbs and exhibit fascinating defensive behaviors like rocking to mimic vegetation."
Termite Soldier,"Termite soldiers are pale, wingless insects with strong mandibles. They defend the colony from predators while workers forage for cellulose-rich food like wood and plant material. They are part of a complex social hierarchy within termite colonies."
Leafhopper,"Leafhoppers are small, agile insects with colorful wings and large eyes. They feed on plant sap and can transmit plant pathogens. Their jumping ability allows them to escape predators quickly."
Fruit Fly,"Fruit flies are tiny flies attracted to fermenting fruits and vegetables. They feed on sugars and yeast, and are widely used in genetics research due to their rapid reproduction and simple genome. Adults live for only a few weeks."
Tsetse Fly,"Tsetse flies are medium-sized, brownish flies with long proboscises for piercing skin. Females feed on blood, transmitting diseases like sleeping sickness. They are found in sub-Saharan Africa and play a major role in livestock and human health."
Horsefly,"Horseflies are large, robust flies with powerful wings. Females feed on blood while males feed on nectar. They are strong fliers and can deliver painful bites, often targeting livestock."
Flea,"Fleas are tiny, wingless insects with flattened bodies adapted for jumping. They feed on blood from mammals and birds and can transmit diseases like plague. Their resilience and reproductive rate make them persistent parasites."
Louse,"Lice are small, wingless, parasitic insects that live on hair, feathers, or skin. They feed on blood or skin debris. Lice are host-specific and often cause itching and discomfort."
Silverfish,"Silverfish are primitive, wingless insects with silvery, elongated bodies. They feed on starchy materials like paper, glue, and fabrics. They are nocturnal and can survive in dark, damp areas for long periods."
Bedbug Nymph,"Bedbug nymphs are immature forms of bedbugs, smaller and translucent. They feed on blood like adults and molt several times before reaching maturity. They are mostly nocturnal and hide in tight spaces."
Cicada Nymph,"Cicada nymphs are subterranean insects that feed on plant roots for several years before emerging. They undergo metamorphosis into winged adults. Their synchronized emergence can produce massive sound displays."
Earwig Nymph,"Earwig nymphs resemble adults but are smaller and lighter in color. They feed on plant matter and small insects. Earwig mothers guard eggs and sometimes young nymphs, showing rare parental care in insects."
Scarab Beetle,"Scarab beetles are stout, oval insects, often metallic or brightly colored. They feed on dung, decaying matter, or plants depending on species. Many are revered culturally and exhibit strong digging behavior."
Weevil,"Weevils are small beetles with elongated snouts. They feed on plants, seeds, or stored grains. Some species are serious agricultural pests due to their boring habits."
Stink Bug,"Stink bugs are shield-shaped insects that release a foul-smelling liquid when threatened. They feed on plant juices and can damage crops. Their vivid patterns help identify species."
Leafcutter Ant,"Leafcutter ants are medium-sized social insects that cut leaves to cultivate fungus as food. They live in massive colonies with complex caste systems. Their trail-laying and cooperation are remarkable."
Fire Ant,"Fire ants are reddish-brown ants with painful stings. They feed on insects, seeds, and sweet substances. Their aggressive behavior and mound-building skills make them well-known pests."
Carpenter Ant,"Carpenter ants are large black or reddish ants that hollow out wood to build nests. They feed on insects and sugary liquids. They play a role in forest ecology but can damage structures."
Damsel Bug,"Damsel bugs are small, predatory insects with elongated bodies. They feed on pests like aphids and caterpillars. They are beneficial for natural pest control in gardens."
Water Strider,"Water striders are slender insects that skate on the surface of ponds and streams. They feed on insects trapped on the water surface. Their legs distribute weight to avoid sinking."
Stonefly,"Stoneflies are medium-sized aquatic insects with two pairs of membranous wings. Nymphs feed on algae and detritus. They are indicators of freshwater ecosystem health."
May Beetle,"May beetles are robust, brown beetles active during spring. Adults feed on leaves, while larvae feed on roots underground. They are important for soil aeration and nutrient cycling."
Cockchafer,"Cockchafers are large, brown beetles with fan-like antennae. Adults feed on leaves, larvae (white grubs) feed on roots. They emerge seasonally and are often seen in large numbers."
Glow-worm,"Glow-worms are beetle larvae that emit light to attract prey or mates. They feed on small insects and other invertebrates. Their luminescence is a defense and communication mechanism."
Mantidfly,"Mantidflies resemble mantises but are actually lacewings. They feed on other insects and lay eggs in spider egg sacs. Their predatory adaptations are remarkable."
Tiger Beetle,"Tiger beetles are fast-running predatory beetles with metallic colors. They feed on small insects and use speed and sharp mandibles to catch prey. They are indicators of healthy habitats."
Walking Stick,"Walking sticks are elongated insects that mimic sticks or twigs for camouflage. They feed on leaves. Some species can regenerate lost limbs and exhibit fascinating defensive behaviors."
Atlas Moth,"Atlas moths are among the largest moths, with intricate wing patterns. Adults do not feed, relying on stored energy. Their large wingspan helps in predator avoidance and mating displays."
Luna Moth,"Luna moths are pale green moths with long tails on hindwings. Adults do not feed and live for about a week. Their unique wing shape helps confuse predators."
Giant Water Bug,"Giant water bugs are large aquatic insects with raptorial front legs. They feed on fish, tadpoles, and other insects. They can deliver painful bites when handled."
Dobsonfly,"Dobsonflies are large insects with elongated mandibles (males) and aquatic larvae (hellgrammites). Larvae feed on other aquatic insects. Adults are short-lived and mostly nocturnal."
Stone Centipede,"Stone centipedes are long, flattened predatory insects with multiple legs. They feed on insects and worms. They are fast and mostly nocturnal."
Earwig,"Earwigs are elongated insects with pincers on the abdomen. They feed on plants and small insects. They are mostly nocturnal and hide in crevices during the day."
Silvanid Beetle,"Silvanid beetles are small, flattened insects that feed on fungi and stored products. They often inhabit decaying wood or food storage areas."
Jumping Spider,"Though not an insect technically, these small arachnids feed on insects. They have exceptional vision and can leap to catch prey. Often confused as insects by casual observers."
Lacewing,"Lacewings are delicate green insects with transparent wings. Their larvae are voracious predators of aphids and other soft-bodied insects. Adults feed on nectar and pollen."
Hoverfly,"Hoverflies mimic bees and wasps but are harmless. They feed on nectar and pollen. Larvae of some species feed on aphids, making them beneficial in gardens."
Blister Beetle,"Blister beetles are elongated beetles that secrete cantharidin, a toxic chemical. They feed on flowers and leaves. This chemical acts as a defense against predators."
Dung Beetle,"Dung beetles feed on animal feces, rolling it into balls for food and egg-laying. They have strong legs and heads for rolling and burying dung. They play an important role in nutrient recycling."
Water Boatman,"Water boatmen are small aquatic insects with oar-like hind legs. They feed on algae and small invertebrates. They can swim efficiently on water surfaces and underwater."
Backswimmer,"Backswimmers are aquatic insects that swim upside-down. They feed on other insects and small aquatic animals. They have air sacs for buoyancy and breathe by coming to the water surface."
Stone Centipede,"Stone centipedes are long, predatory insects with many legs. They feed on insects and worms. They are nocturnal and hide under rocks and debris."
Caddisfly Larva,"Caddisfly larvae are aquatic, building protective cases from sand and plant material. They feed on detritus or small organisms. They are important for freshwater ecosystems."
Dobsonfly Larva,"Dobsonfly larvae (hellgrammites) are large aquatic predators. They feed on other aquatic insects and small invertebrates. They live under stones in streams and are indicators of clean water."
Antlion,"Antlions are larvae that dig conical pits to trap ants. Adults resemble dragonflies and feed on nectar. Larvae feed exclusively on trapped prey, exhibiting ambush predatory behavior."
Giant Asian Mantis,"Giant Asian mantises are large green predatory insects. They feed on insects and sometimes small vertebrates. Known for aggressive hunting and remarkable camouflage."
Peacock Butterfly,"Peacock butterflies have colorful wings with eye-like patterns. They feed on nectar. The eyespots deter predators by mimicking larger animals."
Cabbage White Butterfly,"Small white butterflies with black wing tips. Larvae feed on cabbage and related plants. Adults feed on nectar and are common garden pests."
Swallowtail Butterfly,"Large, colorful butterflies with tail-like extensions on hindwings. Feed on nectar. Caterpillars feed on host plants like citrus, showing mimicry for defense."
Tiger Moth,"Medium-sized moths with striking colors and patterns. Caterpillars feed on various plants. Adults use chemical defenses and bright coloration to warn predators."
Lappet Moth,"Large moths with patterned wings. Caterpillars feed on leaves. Adults are nocturnal and attracted to light."
Bagworm,"Larvae build protective silk bags covered with debris. Feed on leaves. Adult males are winged, females mostly stay in bags."
Tent Caterpillar,"Larvae build silk tents in trees. Feed on leaves. Live communally and can defoliate host trees."
Luna Moth,"Pale green moth with long hindwing tails. Adults do not feed. They live about a week, mating to continue the cycle."
Atlas Moth,"Large moth with elaborate wing patterns. Adults do not feed. Used for silk production in some cultures."
Hickory Horned Devil,"Large green caterpillar with spiny projections. Feeds on hickory and walnut leaves. Harmless to humans despite intimidating look."
Tarantula Hawk Wasp,"Large wasp with metallic blue body. Feeds on nectar. Females paralyze tarantulas to lay eggs in their bodies."
Hornet,"Large wasp with yellow and black stripes. Feeds on insects and nectar. Aggressive defense and painful sting."
Japanese Beetle,"Shiny green beetle with bronze wing covers. Feeds on flowers, fruits, and leaves. Can be a significant pest."
Colorado Potato Beetle,"Striped beetle that feeds on potato plants. Larvae and adults consume leaves. Known for rapid reproduction."
Locust,"Grasshopper-like insect that swarms in huge numbers. Feeds on crops. Causes significant agricultural damage."
Stonefly Nymph,"Aquatic nymphs with elongated bodies. Feed on algae and detritus. Indicators of freshwater quality."
Mayfly Nymph,"Aquatic larvae feed on algae. Short adult lifespan mainly for reproduction. Sensitive to pollution."
Damselfly,"Slender, colorful insect with two pairs of wings. Predatory on small insects. Aquatic larvae live in water."
Golden Silk Orb-Weaver,"Large spider (not insect) with golden web. Feeds on insects. Creates elaborate orb-shaped webs."
Orb-Weaver Spider,"Spider that spins intricate webs. Feeds on insects. Often mistaken as insect by casual observers."
Housefly,"Common fly with gray thorax and four dark stripes. Feeds on decaying matter. Vectors for many pathogens."
Blowfly,"Metallic-colored fly. Larvae feed on carrion. Important in forensic studies."
Fruit Beetle,"Small beetle attracted to fruits. Feeds on overripe fruits. Often used in decomposition studies."
